time,tp,olr,str,u10,v10,d2m,t2m,msl,sst,z,tcwv,v100,u100,Wind_Speed_10m,Wind_Speed_100m
2012-08-13 06:00:00,0.0,943716.0,-234449.38,-4.262787,1.6268921,12.251312,16.138489,1012.6719,,-1.4674817,28.109673,3.24971,-6.18631,4.562689,6.987921
2012-08-15 06:00:00,0.0,953567.0,-181061.06,-3.8027039,-0.08413696,17.272644,18.787079,1011.1763,,-1.4674817,30.185667,1.162323,-6.2486877,3.8036346,6.3558707
2012-08-17 06:00:00,0.0,821939.0,-196644.06,-1.9945221,3.730301,14.668182,18.164825,1017.9994,,-1.4674817,30.884079,6.8422546,-2.5798492,4.230043,7.31246
2012-08-19 06:00:00,0.0,997477.0,-204867.0,-2.2922974,1.787674,19.017792,21.212555,1014.82935,,-1.4674817,33.535835,4.656708,-2.8108368,2.906958,5.4392767
2012-08-21 06:00:00,9.536743e-07,815993.0,-91779.375,-1.1803131,2.3057709,16.942657,17.015472,1018.9556,,-1.4674817,24.721573,2.950241,-1.2199249,2.5903125,3.192513
2012-08-23 06:00:00,0.0,842921.0,-226225.0,2.974823,1.0542908,13.48996,15.842712,1015.4231,,-1.4674817,22.183872,1.1552124,4.7397614,3.1561213,4.8785095
2012-08-25 06:00:00,0.00033187866,870779.0,-77433.0,2.0090485,4.945389,15.112946,16.330658,1002.40686,,-1.4674817,24.019005,6.99675,3.3462524,5.3378973,7.755767
2012-08-27 06:00:00,4.7683716e-07,858111.0,-206053.56,-0.7890625,4.207016,13.108002,13.658386,1019.5712,,-1.4674817,22.08931,5.7669525,-0.33885193,4.280374,5.776899
2012-08-29 06:00:00,0.00014543533,926612.0,-261134.88,-0.776001,3.3214111,13.648163,14.8984375,1016.24,,-1.4674817,19.765388,5.216614,0.03237915,3.4108574,5.2167144
2012-08-31 06:00:00,0.0003991127,697186.0,-77279.5,1.1527405,-11.256668,12.167023,14.35788,1018.4075,,-1.4674817,23.899351,-16.017395,1.4276428,11.315537,16.080893
2012-09-01 06:00:00,0.0,753518.0,-208911.94,1.967804,0.20599365,8.172638,11.777069,1026.3325,,-1.4674817,12.7220745,-0.57673645,2.797989,1.9785565,2.8568108
2012-09-03 06:00:00,0.0,902534.0,-152101.0,0.6607208,-0.59147644,14.520325,15.412079,1025.1481,,-1.4674817,22.376945,-1.5891113,0.4297943,0.8867899,1.6462071
2012-09-05 06:00:00,1.4305115e-06,943723.0,-274298.5,0.57896423,-2.7965546,11.512238,14.247772,1022.8681,,-1.4674817,14.80249,-4.4003906,0.3539734,2.8558567,4.4146047
2012-09-07 06:00:00,0.0,911307.0,-180450.81,4.7022552,1.1863861,13.482941,15.32901,1022.4319,,-1.4674817,30.417334,1.3794403,7.4265747,4.84961,7.5535994
2012-09-09 06:00:00,0.0,890476.0,-273493.3,-2.6511078,1.8046875,13.488861,14.370605,1014.8069,,-1.4674817,16.773443,4.12973,-4.290024,3.2070653,5.954744
2012-09-11 06:00:00,0.00025892258,707912.0,-183344.19,3.939911,5.282425,13.960205,16.8544,1009.02313,,-1.4674817,28.37107,7.534424,6.251175,6.5899096,9.790032
2012-09-13 06:00:00,1.7642975e-05,886652.0,-146709.56,-2.0366516,-4.8903656,10.563751,12.838715,1014.27686,,-1.4674817,16.87192,-6.863159,-3.0806732,5.297511,7.5228653
2012-09-15 06:00:00,1.1444092e-05,930876.0,-179777.19,3.595871,-0.39460754,10.983276,13.7771,1015.45685,,-1.4674817,21.451185,-1.1995697,5.8547516,3.617458,5.976377
2012-09-17 06:00:00,6.580353e-05,934185.0,-132622.94,3.1449432,0.69485474,13.489349,15.3906555,1011.265,,-1.4674817,19.198536,0.8999939,5.305069,3.2207904,5.3808684
2012-09-19 06:00:00,0.00020647049,814763.0,-255600.88,4.515854,-0.9435425,7.884033,9.200958,1016.4381,,-1.4674817,11.82562,-1.7240143,6.7496033,4.613373,6.9663024
2012-09-21 06:00:00,0.0,701913.0,-170406.0,2.3772278,4.3195953,8.145142,11.059326,1016.3906,,-1.4674817,20.442871,6.3947754,4.237076,4.930529,7.6711125
2012-09-23 06:00:00,0.0,816566.0,-240560.0,-2.674408,0.43899536,5.743805,7.172821,1018.385,,-1.4674817,13.056865,1.0715637,-4.7011414,2.7101984,4.8217196
2012-09-25 06:00:00,8.010864e-05,881425.0,-237622.06,2.4110565,7.364212,10.00412,11.679657,992.3762,,-1.4674817,16.045275,10.65152,3.929367,7.748859,11.353184
2012-09-27 06:00:00,0.00014591217,768851.0,-138974.06,2.1849213,3.8434753,11.420258,12.23996,1001.1181,,-1.4674817,22.334795,5.7970276,3.6892548,4.421107,6.8713994
2012-09-29 06:00:00,0.00010347366,893769.0,-236313.0,4.3937836,1.0525818,9.511993,11.711639,1012.47687,,-1.4674817,17.281155,1.6545105,7.1655426,4.518104,7.354074
2012-10-01 06:00:00,3.5762787e-06,690828.0,-193592.0,2.5986023,5.188339,10.341644,11.549957,1014.28687,,-1.4674817,21.25549,7.7001038,4.6022797,5.8027234,8.970651
2012-10-03 06:00:00,0.00039482117,752843.0,-143685.0,4.130356,7.926056,11.657745,13.464691,1005.9856,,-1.4674817,24.54352,11.639313,6.49736,8.937684,13.330015
